Descrição,2023,2022,2021,2020,2019,ticker,2018,2017,2016,2015,2024
Ativo Total - (R$),"724,48 Milhões 724.477.000","546,84 Milhões 546.838.000","419,11 Milhões 419.110.000","63,72 Milhões 63.720.000","55,31 Milhões 55.305.000",AZEV4,,,,,
Ativo Circulante - (R$),"156,64 Milhões 156.636.000","179,37 Milhões 179.373.000","117,53 Milhões 117.530.000","39,71 Milhões 39.712.000","21,26 Milhões 21.260.000",AZEV4,,,,,
Ativo Não Circulante - (R$),"567,84 Milhões 567.841.000","367,47 Milhões 367.465.000","301,58 Milhões 301.580.000","24,01 Milhões 24.010.000","34,05 Milhões 34.050.000",AZEV4,,,,,
,,,,,,AZEV4,,,,,
Passivo Total - (R$),"724,48 Milhões 724.477.000","546,84 Milhões 546.838.000","419,11 Milhões 419.110.000","63,72 Milhões 63.720.000","55,31 Milhões 55.305.000",AZEV4,,,,,
Passivo Circulante - (R$),"318,02 Milhões 318.015.000","228,22 Milhões 228.221.000","97,78 Milhões 97.780.000","157,69 Milhões 157.693.000","218,32 Milhões 218.320.000",AZEV4,,,,,
Passivo Não Circulante - (R$),"89,34 Milhões 89.342.000","221,62 Milhões 221.617.000","214,35 Milhões 214.350.000","146,04 Milhões 146.043.000","83,36 Milhões 83.360.000",AZEV4,,,,,
Patrimônio Líquido Consolidado - (R$),"317,12 Milhões 317.120.000","97,00 Milhões 97.000.000","106,97 Milhões 106.970.000","-240,01 Milhões -240.014.000","-246,37 Milhões -246.370.000",AZEV4,,,,,
Ativo Total - (R$),"1,01 Bilhão 1.008.709.000","811,57 Milhões 811.565.000","668,10 Milhões 668.100.000","569,37 Milhões 569.370.000","515,47 Milhões 515.470.000",WLMM3,,,,,
Ativo Circulante - (R$),"631,47 Milhões 631.472.000","455,02 Milhões 455.021.000","318,82 Milhões 318.820.000","243,33 Milhões 243.330.000","193,91 Milhões 193.910.000",WLMM3,,,,,
Ativo Não Circulante - (R$),"377,24 Milhões 377.237.000","356,54 Milhões 356.544.000","349,28 Milhões 349.280.000","326,04 Milhões 326.040.000","321,57 Milhões 321.570.000",WLMM3,,,,,
,,,,,,WLMM3,,,,,
Passivo Total - (R$),"1,01 Bilhão 1.008.709.000","811,57 Milhões 811.565.000","668,10 Milhões 668.100.000","569,37 Milhões 569.370.000","515,47 Milhões 515.470.000",WLMM3,,,,,
Passivo Circulante - (R$),"246,56 Milhões 246.564.000","133,42 Milhões 133.419.000","72,65 Milhões 72.650.000","54,86 Milhões 54.860.000","48,36 Milhões 48.360.000",WLMM3,,,,,
