Indicador,Atual,2023,2022,2021,2020,2019,ticker
P/L,-125,-722,-322,428,-1618,-2328,AZEV4
P/RECEITA (PSR),102,085,065,1059,2859,47512,AZEV4
P/VP,067,116,260,761,-262,-338,AZEV4
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",AZEV4
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",AZEV4
MARGEM LÍQUIDA,"-81,56%","-11,82%","-20,33%","247,35%","-176,72%","-2.041,24%",AZEV4
MARGEM BRUTA,"6,77%","9,79%","3,21%","30,88%","7,42%","-398,17%",AZEV4
MARGEM EBIT,"-107,84%","-20,98%","-32,65%","290,88%","-90,79%","-764,40%",AZEV4
MARGEM EBITDA,"-87,62%","-12,38%","-22,96%","298,58%","-83,82%","-608,67%",AZEV4
EV/EBITDA,-161,-768,-355,370,-4354,-9483,AZEV4
EV/EBIT,-131,-453,-250,380,-4020,-7551,AZEV4
P/EBITDA,-116,-689,-285,355,-3411,-7806,AZEV4
P/EBIT,-094,-407,-200,364,-3149,-6216,AZEV4
P/ATIVO,025,051,046,194,987,1506,AZEV4
P/CAP.GIRO,-121,-227,-517,4122,-533,-423,AZEV4
P/ATIVO CIRC LIQ,-032,-065,-069,-270,-2619,-2446,AZEV4
VPA,153,169,052,057,-128,-132,AZEV4
LPA,-083,-027,-042,102,-021,-019,AZEV4
GIRO ATIVOS,024,059,071,018,035,003,AZEV4
ROE,"-54,09%","-16,02%","-80,88%","177,75%","-16,20%","-14,52%",AZEV4
ROIC,"-85,49%","-47,41%","-120,78%","153,94%","9,26%","6,35%",AZEV4
ROA,"-19,90%","-7,01%","-14,35%","45,37%","-61,01%","-64,70%",AZEV4
DÍVIDA LÍQUIDA / EBITDA,-045,-070,-063,-000,-098,-318,AZEV4
DÍVIDA LÍQUIDA / EBIT,-037,-041,-044,-000,-091,-253,AZEV4
DÍVIDA BRUTA / PATRIMÔNIO,029,012,069,018,-009,-014,AZEV4
PATRIMÔNIO / ATIVOS,037,044,018,026,-377,-445,AZEV4
PASSIVOS / ATIVOS,063,056,082,074,477,545,AZEV4
LIQUIDEZ CORRENTE,051,049,079,120,025,010,AZEV4
CAGR RECEITAS 5 ANOS,"155,19%","54,36%","43,35%","-8,87%","-43,35%","-66,60%",AZEV4
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,AZEV4
P/L,705,710,667,1171,1473,950,WLMM3
P/RECEITA (PSR),030,034,040,067,081,044,WLMM3
P/VP,129,116,126,228,173,113,WLMM3
DIVIDEND YIELD (DY),"2,19%","3,88%","5,66%","1,68%","1,45%","1,46%",WLMM3
PAYOUT,"16,26%","29,07%","29,96%","20,73%","22,57%","14,63%",WLMM3
MARGEM LÍQUIDA,"4,26%","4,82%","5,94%","5,69%","5,49%","4,59%",WLMM3
MARGEM BRUTA,"11,25%","12,32%","13,34%","12,94%","15,57%","12,71%",WLMM3
MARGEM EBIT,"6,76%","6,72%","7,75%","7,32%","7,83%","5,17%",WLMM3
MARGEM EBITDA,"6,94%","6,92%","7,94%","7,53%","8,40%","5,70%",WLMM3
EV/EBITDA,469,645,531,859,1040,721,WLMM3
EV/EBIT,481,664,544,883,1116,794,WLMM3
P/EBITDA,433,494,499,884,962,766,WLMM3
P/EBIT,444,509,512,909,1033,843,WLMM3
P/ATIVO,086,081,096,185,141,092,WLMM3
P/CAP.GIRO,228,211,243,503,425,325,WLMM3
P/ATIVO CIRC LIQ,-224,-216,-220,-354,-246,-147,WLMM3
VPA,2090,1928,1708,1488,1268,1154,WLMM3
LPA,383,315,322,290,149,137,WLMM3
GIRO ATIVOS,285,236,243,278,174,210,WLMM3
ROE,"18,33%","16,32%","18,86%","19,51%","11,78%","11,85%",WLMM3
ROIC,"15,15%","13,99%","15,46%","17,65%","11,62%","10,97%",WLMM3
ROA,"12,14%","11,36%","14,45%","15,83%","9,56%","9,66%",WLMM3
DÍVIDA LÍQUIDA / EBITDA,046,050,017,-109,-154,-055,WLMM3
DÍVIDA LÍQUIDA / EBIT,047,052,017,-112,-165,-060,WLMM3
DÍVIDA BRUTA / PATRIMÔNIO,031,020,009,001,002,003,WLMM3
PATRIMÔNIO / ATIVOS,066,070,077,081,081,082,WLMM3
PASSIVOS / ATIVOS,034,030,023,019,019,019,WLMM3
LIQUIDEZ CORRENTE,255,256,341,439,444,401,WLMM3
CAGR RECEITAS 5 ANOS,"24,77%","25,90%","32,16%","34,55%","14,81%","4,61%",WLMM3
CAGR LUCROS 5 ANOS,"22,88%","48,14%",-%,-%,"68,99%","32,45%",WLMM3
P/L,569,787,3071,1179,-380,2560,VLID3
P/RECEITA (PSR),091,074,040,032,040,069,VLID3
P/VP,119,129,061,056,072,126,VLID3
DIVIDEND YIELD (DY),"6,61%","5,95%","3,16%","0,00%","0,00%","4,12%",VLID3
PAYOUT,"44,56%","46,81%","97,03%","0,00%","-28,29%","88,69%",VLID3
MARGEM LÍQUIDA,"15,95%","9,46%","1,30%","2,72%","-10,44%","2,70%",VLID3
MARGEM BRUTA,"36,36%","36,48%","35,63%","23,45%","17,68%","21,97%",VLID3
MARGEM EBIT,"21,93%","17,37%","16,10%","6,18%","-5,64%","6,49%",VLID3
MARGEM EBITDA,"26,83%","21,51%","17,08%","10,27%","-1,07%","10,71%",VLID3
EV/EBITDA,348,402,384,680,-7405,938,VLID3
EV/EBIT,425,498,408,1130,-1402,1546,VLID3
P/EBITDA,338,346,234,312,-3712,646,VLID3
P/EBIT,414,428,248,518,-703,1066,VLID3
P/ATIVO,071,066,028,023,027,055,VLID3
P/CAP.GIRO,207,234,123,149,359,309,VLID3
