Descrição,ÚLT. 12M,2023,2022,2021,2020,2019,ticker,2018,2017,2016,2015,2024
Receita Líquida - (R$),"189,71 MilhõesR$ 189.709.000","429,82 Milhões 429.819.000","386,00 Milhões 385.997.000","76,87 Milhões 76.870.000","22,00 Milhões 21.997.000","1,75 Milhão 1.753.000",AZEV4,,,,,
Custos - (R$),"-176,87 MilhõesR$ -176.867.000","-387,72 Milhões -387.723.000","-373,61 Milhões -373.614.000","-53,13 Milhões -53.130.000","-20,36 Milhões -20.364.000","-8,73 Milhões -8.727.000",AZEV4,,,,,
Lucro Bruto - (R$),"12,84 MilhõesR$ 12.842.000","42,10 Milhões 42.096.000","12,37 Milhões 12.373.000","23,74 Milhões 23.740.000","1,63 Milhão 1.633.000","-6,98 Milhões -6.980.000",AZEV4,,,,,
Lucro Líquido - (R$),"-154,73 MilhõesR$ -154.732.000","-50,81 Milhões -50.805.000","-78,46 Milhões -78.458.000","190,14 Milhões 190.140.000","-38,87 Milhões -38.874.000","-35,78 Milhões -35.783.000",AZEV4,,,,,
EBITDA - (R$),"-166,23 MilhõesR$ -166.225.000","-53,22 Milhões -53.223.000","-88,63 Milhões -88.630.000","229,52 Milhões 229.520.000","-18,44 Milhões -18.437.000","-10,67 Milhões -10.670.000",AZEV4,,,,,
EBIT - (R$),"-204,58 MilhõesR$ -204.580.000","-90,18 Milhões -90.183.000","-126,03 Milhões -126.025.000","223,60 Milhões 223.600.000","-19,97 Milhões -19.970.000","-13,40 Milhões -13.400.000",AZEV4,,,,,
Imposto - (R$),"110,40 MilhõesR$ 110.399.000","78,71 Milhões 78.709.000","72,41 Milhões 72.412.000","-29,67 Milhões -29.670.000","-162,00 Mil -162.000","-91,00 Mil -91.000",AZEV4,,,,,
Dívida Bruta - (R$),"82,42 MilhõesR$ 82.420.000","39,10 Milhões 39.103.000","67,30 Milhões 67.301.000","19,01 Milhões 19.010.000","22,70 Milhões 22.696.000","34,00 Milhões 34.000.000",AZEV4,,,,,
Dívida Líquida - (R$),"75,54 MilhõesR$ 75.543.000","37,01 Milhões 37.013.000","55,63 Milhões 55.631.000","-330,00 Mil -330.000","18,11 Milhões 18.113.000","33,95 Milhões 33.954.000",AZEV4,,,,,
Margem Bruta - (%),"6,77 %","9,79 %","3,21 %","30,88 %","7,42 %","-398,17 %",AZEV4,,,,,
Margem Ebitda - (%),"-87,62 %","-12,38 %","-22,96 %","298,58 %","-83,82 %","-608,67 %",AZEV4,,,,,
Margem Líquida - (%),"-81,56 %","-11,82 %","-20,33 %","247,35 %","-176,72 %","-2.041,24 %",AZEV4,,,,,
ROE - (%),"-54,09 %","-16,02 %","-80,88 %","177,75 %","-16,20 %","-14,52 %",AZEV4,,,,,
ROIC - (%),"-85,49 %","-47,41 %","-120,78 %","153,94 %","9,26 %","6,35 %",AZEV4,,,,,
Receita Líquida - (R$),"3,28 BilhõesR$ 3.276.169.000","2,38 Bilhões 2.379.742.000","1,97 Bilhão 1.974.519.000","1,86 Bilhão 1.858.780.000","991,22 Milhões 991.220.000","1,08 Bilhão 1.083.616.000",WLMM3,,,,,
Custos - (R$),"-2,91 BilhõesR$ -2.907.485.000","-2,09 Bilhões -2.086.569.000","-1,71 Bilhão -1.711.202.000","-1,62 Bilhão -1.618.250.000","-836,91 Milhões -836.910.000","-945,95 Milhões -945.950.000",WLMM3,,,,,
Lucro Bruto - (R$),"368,68 MilhõesR$ 368.684.000","293,16 Milhões 293.163.000","263,32 Milhões 263.317.000","240,52 Milhões 240.520.000","154,31 Milhões 154.310.000","137,68 Milhões 137.676.000",WLMM3,,,,,
Lucro Líquido - (R$),"139,45 MilhõesR$ 139.453.000","114,58 Milhões 114.584.000","117,28 Milhões 117.283.000","105,73 Milhões 105.730.000","54,43 Milhões 54.430.000","49,78 Milhões 49.780.000",WLMM3,,,,,
EBITDA - (R$),"227,29 MilhõesR$ 227.292.000","164,73 Milhões 164.731.000","156,83 Milhões 156.830.000","139,98 Milhões 139.980.000","83,24 Milhões 83.240.000","61,72 Milhões 61.720.000",WLMM3,,,,,
EBIT - (R$),"221,62 MilhõesR$ 221.618.000","159,93 Milhões 159.933.000","152,99 Milhões 152.990.000","136,14 Milhões 136.140.000","77,58 Milhões 77.580.000","56,04 Milhões 56.040.000",WLMM3,,,,,
Imposto - (R$),"-71,17 MilhõesR$ -71.169.000","-42,03 Milhões -42.031.000","-48,13 Milhões -48.133.000","-39,42 Milhões -39.420.000","-22,86 Milhões -22.860.000","-8,77 Milhões -8.770.000",WLMM3,,,,,
Dívida Bruta - (R$),"232,21 MilhõesR$ 232.207.000","140,48 Milhões 140.481.000","56,27 Milhões 56.265.000","6,08 Milhões 6.080.000","9,11 Milhões 9.110.000","10,86 Milhões 10.860.000",WLMM3,,,,,
